                                 Instance                                 |                                   baronBM@0                                   |                                  baronBMc@0                                   |                                   baronHR@0                                   |                                  baronHRc@0                                   |                                   cplexBM@0                                   |                                  cplexHRc@0                                   |                                  knitroBM@0                                   |                                  knitroBMc@0                                  |                                  knitroHR@0                                   |                                  knitroHRc@0                                  |                                  mosekBM.2@0                                  |                                   mosekBM@0                                   |                                 mosekBMc.2@0                                  |                                  mosekBMc@0                                   |                                 mosekHRc.2@0                                  |                                  mosekHRc@0                                   |                                 sbbknitroBM@0                                 |                                sbbknitroBMc@0                                 |                                 sbbknitroHR@0                                 |                                sbbknitroHRc@0                                 |                                 sbbmosekBM@0                                  |                                 sbbmosekBMc@0                                 |                                 sbbmosekHR@0                                  |                                 sbbmosekHRc@0                                 |
LogReg_10_20_1_10        112    38   123 min  6.308857e+00  6.308857e+00  |normal      6.238262e+00    1.13  6.238325e+00   -1.13   0.00    0.24       1  |normal      6.228722e+00    1.29  6.228784e+00   -1.29   0.00  560.62   16911  |normal      6.238262e+00    1.13  6.238325e+00   -1.13   0.00    0.25       1  |timelim     6.237715e+00    1.14           inf     inf    inf 3601.64  288053  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.13  6.238325e+00   -1.13   0.00  425.28   44037  |normal      6.238322e+00    1.13  6.238325e+00   -1.13   0.00  671.69   42701  |normal      6.238324e+00    1.13  6.238325e+00   -1.13   0.00  463.61   44037  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.308768e+00    0.00  6.308768e+00   -0.00   0.00  119.26   21147  |normal      6.308860e+00   -0.00  6.308860e+00    0.00   0.00  263.18   25581  |normal      6.238324e+00    1.13  6.238324e+00   -1.13   0.00    0.78      97  |normal      6.238325e+00    1.13  6.238325e+00   -1.13   0.00    0.96      77  |normal      6.238324e+00    1.13  6.238324e+00   -1.13   0.00 2381.26   41020  |normal      6.238290e+00    1.13  6.238319e+00   -1.13   0.00 3263.70   42762  |normal      6.238324e+00    1.13  6.238324e+00   -1.13   0.00 2033.43   41020  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.13  6.238325e+00   -1.13   0.00   78.42    1409  |--                    --     inf            --     inf     --      --      -- !|normal      6.238327e+00    1.13  6.238328e+00   -1.13   0.00    0.72      17  |
LogReg_10_20_1_2         112    38   123 min  6.326293e+00  6.326293e+00  |normal      6.238262e+00    1.41  6.238325e+00   -1.41   0.00    0.28       1  |normal      6.228701e+00    1.57  6.228764e+00   -1.57   0.00  495.40   14089  |normal      6.238262e+00    1.41  6.238325e+00   -1.41   0.00    0.28       1  |timelim     6.237715e+00    1.42           inf     inf    inf 3600.63  300694  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.41  6.238325e+00   -1.41   0.00  408.42   42807  |normal      6.238320e+00    1.41  6.238325e+00   -1.41   0.00  699.87   46437  |normal      6.238324e+00    1.41  6.238325e+00   -1.41   0.00  415.11   42807  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.326199e+00    0.00  6.326199e+00   -0.00   0.00  116.43   20155  |normal      6.326293e+00   -0.00  6.326293e+00    0.00   0.00  251.45   23373  |normal      6.238318e+00    1.41  6.238318e+00   -1.41   0.00    0.52      27  |normal      6.238334e+00    1.41  6.238334e+00   -1.41   0.00    1.79     193  |normal      6.238324e+00    1.41  6.238324e+00   -1.41   0.00 2406.37   41876  |normal      6.238317e+00    1.41  6.238320e+00   -1.41   0.00 3349.46   44545  |normal      6.238324e+00    1.41  6.238324e+00   -1.41   0.00 2054.37   41876  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.41  6.238325e+00   -1.41   0.00  206.77    3894  |--                    --     inf            --     inf     --      --      -- !|normal      6.238327e+00    1.41  6.238328e+00   -1.41   0.00    0.66      17  |
LogReg_10_20_1_3         112    38   123 min  6.330070e+00  6.330070e+00  |normal      6.238262e+00    1.47  6.238325e+00   -1.47   0.00    0.26       1  |normal      6.228701e+00    1.63  6.228764e+00   -1.63   0.00  513.15   16591  |normal      6.238262e+00    1.47  6.238325e+00   -1.47   0.00    0.15       1  |timelim     6.237868e+00    1.48           inf     inf    inf 3600.57  273096  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.47  6.238325e+00   -1.47   0.00  439.52   46795  |normal      6.237622e+00    1.48  6.238325e+00   -1.47   0.01  717.96   46987  |normal      6.238324e+00    1.47  6.238325e+00   -1.47   0.00  450.57   46795  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.330037e+00    0.00  6.330037e+00   -0.00   0.00  108.17   20929  |normal      6.330070e+00   -0.00  6.330070e+00    0.00   0.00  236.47   23789  |normal      6.238293e+00    1.47  6.238324e+00   -1.47   0.00    0.69      94  |normal      6.238330e+00    1.47  6.238330e+00   -1.47   0.00    0.62      31  |normal      6.238324e+00    1.47  6.238324e+00   -1.47   0.00 2496.49   42774  |normal      6.238317e+00    1.47  6.238321e+00   -1.47   0.00 3298.91   43442  |normal      6.238324e+00    1.47  6.238324e+00   -1.47   0.00 2113.34   42774  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.47  6.238325e+00   -1.47   0.00  382.02    7070  |--                    --     inf            --     inf     --      --      -- !|normal      6.238326e+00    1.47  6.238338e+00   -1.47   0.00    1.41      38  |
LogReg_10_20_1_4         112    38   123 min  6.351796e+00  6.351796e+00  |normal      6.238262e+00    1.82  6.238325e+00   -1.82   0.00    0.38       1  |normal      6.228689e+00    1.98  6.228752e+00   -1.98   0.00  572.54   18009  |normal      6.238262e+00    1.82  6.238325e+00   -1.82   0.00    0.39       1  |timelim     6.237410e+00    1.83           inf     inf    inf 3600.52  291760  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.82  6.238325e+00   -1.82   0.00  463.69   47629  |normal      6.238319e+00    1.82  6.238325e+00   -1.82   0.00  772.00   50307  |normal      6.238324e+00    1.82  6.238325e+00   -1.82   0.00  476.07   47629  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.351731e+00    0.00  6.351731e+00   -0.00   0.00  117.98   22175  |normal      6.351797e+00   -0.00  6.351797e+00    0.00   0.00  235.59   23093  |normal      6.238324e+00    1.82  6.238324e+00   -1.82   0.00    0.58      48  |normal      6.238326e+00    1.82  6.238326e+00   -1.82   0.00    1.40     101  |normal      6.238324e+00    1.82  6.238324e+00   -1.82   0.00 2642.08   43707  |normal      6.238319e+00    1.82  6.238320e+00   -1.82   0.00 3618.81   47652  |normal      6.238324e+00    1.82  6.238324e+00   -1.82   0.00 2169.24   43707  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.82  6.238325e+00   -1.82   0.00  237.26    4507  |--                    --     inf            --     inf     --      --      -- !|normal      6.238328e+00    1.82  6.238330e+00   -1.82   0.00    0.66      17  |
LogReg_10_20_1_5         112    38   123 min  6.366267e+00  6.366267e+00  |normal      6.238262e+00    2.05  6.238325e+00   -2.05   0.00    0.31       1  |normal      6.227603e+00    2.23  6.227666e+00   -2.23   0.00  498.10   15356  |normal      6.238262e+00    2.05  6.238325e+00   -2.05   0.00    0.31       1  |timelim     6.220817e+00    2.34           inf     inf    inf 3600.39  281287  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    2.05  6.238325e+00   -2.05   0.00  434.94   41179  |normal      6.238313e+00    2.05  6.238961e+00   -2.04   0.01  688.12   44841  |normal      6.238324e+00    2.05  6.238325e+00   -2.05   0.00  472.10   41179  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.366146e+00    0.00  6.366146e+00   -0.00   0.00   63.97   21035  |normal      6.366267e+00   -0.00  6.366267e+00    0.00   0.00  214.14   22615  |normal      6.238322e+00    2.05  6.238322e+00   -2.05   0.00    1.47     169  |normal      6.238334e+00    2.05  6.238335e+00   -2.05   0.00    0.77      31  |normal      6.238324e+00    2.05  6.238324e+00   -2.05   0.00 2372.40   39155  |normal      6.238314e+00    2.05  6.238319e+00   -2.05   0.00 3262.46   42688  |normal      6.238324e+00    2.05  6.238324e+00   -2.05   0.00 1943.22   39155  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    2.05  6.238325e+00   -2.05   0.00  386.15    7285  |--                    --     inf            --     inf     --      --      -- !|normal      6.238326e+00    2.05  6.238330e+00   -2.05   0.00    0.62      17  |
LogReg_10_20_1_6         112    38   123 min  6.355014e+00  6.355014e+00  |normal      6.238262e+00    1.87  6.238325e+00   -1.87   0.00    0.23       1  |normal      6.225524e+00    2.08  6.225586e+00   -2.08   0.00  418.98   10091  |normal      6.238262e+00    1.87  6.238325e+00   -1.87   0.00    0.22       1  |timelim     6.237715e+00    1.88           inf     inf    inf 3599.92  310306  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.87  6.238325e+00   -1.87   0.00  409.00   48119  |normal      6.237949e+00    1.88  6.238325e+00   -1.87   0.01  737.01   47387  |normal      6.238324e+00    1.87  6.238325e+00   -1.87   0.00  437.08   48119  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.354887e+00    0.00  6.354887e+00   -0.00   0.00  140.60   25051  |normal      6.355017e+00   -0.00  6.355017e+00    0.00   0.00  256.66   22847  |normal      6.238320e+00    1.87  6.238320e+00   -1.87   0.00    0.77     179  |normal      6.238329e+00    1.87  6.238329e+00   -1.87   0.00    0.91      53  |normal      6.238323e+00    1.87  6.238323e+00   -1.87   0.00 2546.79   40785  |normal      6.238317e+00    1.87  6.238322e+00   -1.87   0.00 3419.44   44668  |normal      6.238323e+00    1.87  6.238323e+00   -1.87   0.00 2082.48   40785  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|other       5.192013e+00   22.40  6.355043e+00    0.00  22.40  670.77   13640 !|--                    --     inf            --     inf     --      --      -- !|normal      6.238330e+00    1.87  6.238331e+00   -1.87   0.00    1.40      38  |
LogReg_10_20_1_7         112    38   123 min  6.417637e+00  6.417637e+00  |normal      6.238262e+00    2.88  6.238325e+00   -2.87   0.00    0.32       1  |normal      6.225816e+00    3.08  6.225879e+00   -3.08   0.00  390.83    9504  |normal      6.238262e+00    2.88  6.238325e+00   -2.87   0.00    0.34       1  |timelim     6.220817e+00    3.16           inf     inf    inf 3599.84  287671  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238147e+00    2.88  6.238325e+00   -2.87   0.00  548.49   46309  |normal      6.238147e+00    2.88  6.238325e+00   -2.87   0.00  761.31   47909  |normal      6.238147e+00    2.88  6.238325e+00   -2.87   0.00  549.68   46309  |error               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.417485e+00    0.00  6.417485e+00   -0.00   0.00  100.09   19841  |normal      6.417640e+00   -0.00  6.417640e+00    0.00   0.00  216.11   20989  |normal      6.238317e+00    2.87  6.238317e+00   -2.87   0.00    0.65     109  |normal      6.238331e+00    2.87  6.238331e+00   -2.87   0.00    0.95      59  |normal      6.238324e+00    2.87  6.238324e+00   -2.87   0.00 2607.42   42477  |normal      6.238319e+00    2.87  6.238322e+00   -2.87   0.00 3500.62   45245  |normal      6.238324e+00    2.87  6.238324e+00   -2.87   0.00 2154.29   42477  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    2.87  6.238325e+00   -2.87   0.00  252.61    4585  |--                    --     inf            --     inf     --      --      -- !|normal      6.238328e+00    2.87  6.238337e+00   -2.87   0.00    0.65      17  |
LogReg_10_20_1_8         112    38   123 min  6.382450e+00  6.382450e+00  |normal      6.238262e+00    2.31  6.238325e+00   -2.31   0.00    0.24       1  |normal      6.229660e+00    2.45  6.229722e+00   -2.45   0.00  452.26   12957  |normal      6.238262e+00    2.31  6.238325e+00   -2.31   0.00    0.34       1  |timelim     6.237410e+00    2.33           inf     inf    inf 3599.86  306456  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    2.31  6.238325e+00   -2.31   0.00  399.32   48155  |normal      6.238317e+00    2.31  6.238325e+00   -2.31   0.00  745.43   48357  |normal      6.238324e+00    2.31  6.238325e+00   -2.31   0.00  397.15   48155  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.380886e+00    0.02  6.380886e+00   -0.02   0.00  139.09   25161  |normal      6.382484e+00   -0.00  6.382484e+00    0.00   0.00  284.07   25681  |normal      6.238321e+00    2.31  6.238321e+00   -2.31   0.00    0.66      77  |normal      6.238331e+00    2.31  6.238331e+00   -2.31   0.00    0.90      53  |normal      6.238323e+00    2.31  6.238324e+00   -2.31   0.00 2752.60   44745  |normal      6.238319e+00    2.31  6.238319e+00   -2.31   0.00 3611.93   47426  |normal      6.238323e+00    2.31  6.238324e+00   -2.31   0.00 2292.23   44745  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    2.31  6.238325e+00   -2.31   0.00  337.78    6339  |--                    --     inf            --     inf     --      --      -- !|normal      6.238327e+00    2.31  6.238327e+00   -2.31   0.00    0.68      17  |
LogReg_10_20_1_9         112    38   123 min  6.326047e+00  6.326047e+00  |normal      6.238262e+00    1.41  6.238325e+00   -1.41   0.00    0.20       1  |normal      6.228701e+00    1.56  6.228764e+00   -1.56   0.00  307.34    9029  |normal      6.238262e+00    1.41  6.238325e+00   -1.41   0.00    0.20       1  |timelim     6.237867e+00    1.41           inf     inf    inf 3599.80  299431  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.41  6.238325e+00   -1.41   0.00  431.97   44329  |normal      6.238318e+00    1.41  6.238325e+00   -1.41   0.00  675.59   43563  |normal      6.238324e+00    1.41  6.238325e+00   -1.41   0.00  437.66   44329  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.322949e+00    0.05  6.322949e+00   -0.05   0.00  116.38   21667  |normal      6.326110e+00   -0.00  6.326110e+00    0.00   0.00  248.59   26087  |normal      6.238322e+00    1.41  6.238324e+00   -1.41   0.00    0.69      89  |normal      6.238328e+00    1.41  6.238328e+00   -1.41   0.00    0.88      57  |normal      6.238324e+00    1.41  6.238324e+00   -1.41   0.00 2676.22   44219  |normal      6.238322e+00    1.41  6.238322e+00   -1.41   0.00 3446.91   44668  |normal      6.238324e+00    1.41  6.238324e+00   -1.41   0.00 2230.91   44219  |other               -inf     inf           inf     inf    inf    0.05      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.41  6.238325e+00   -1.41   0.00  481.61    9105  |--                    --     inf            --     inf     --      --      -- !|normal      6.238329e+00    1.41  6.238334e+00   -1.41   0.00    2.82      75  |
LogReg_10_20_2_1         112    38   123 min  6.356514e+00  6.356514e+00  |normal      6.238262e+00    1.90  6.238325e+00   -1.89   0.00    0.25       1  |normal      6.230442e+00    2.02  6.230504e+00   -2.02   0.00  487.58   16473  |normal      6.238262e+00    1.90  6.238325e+00   -1.89   0.00    0.25       1  |timelim     6.220817e+00    2.18           inf     inf    inf 3599.78  305285  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.89  6.238325e+00   -1.89   0.00  456.87   47109  |normal      6.238321e+00    1.89  6.239148e+00   -1.88   0.01  733.93   45729  |normal      6.238324e+00    1.89  6.238325e+00   -1.89   0.00  462.01   47109  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.356403e+00    0.00  6.356403e+00   -0.00   0.00   91.07   22755  |normal      6.355168e+00    0.02  6.355168e+00   -0.02   0.00  243.87   24791  |normal      6.238320e+00    1.89  6.238320e+00   -1.89   0.00    1.47     189  |normal      6.238325e+00    1.89  6.238325e+00   -1.89   0.00    0.76      67  |normal      6.238324e+00    1.89  6.238324e+00   -1.89   0.00 2749.54   45014  |normal      6.238318e+00    1.89  6.238319e+00   -1.89   0.00 3534.72   45163  |normal      6.238324e+00    1.89  6.238324e+00   -1.89   0.00 2306.80   45014  |other               -inf     inf           inf     inf    inf    0.05      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.89  6.238325e+00   -1.89   0.00  192.56    3628  |--                    --     inf            --     inf     --      --      -- !|normal      6.238327e+00    1.89  6.238339e+00   -1.89   0.00    0.69      17  |
LogReg_10_20_2_10        112    38   123 min  6.329676e+00  6.329676e+00  |normal      6.238262e+00    1.47  6.238325e+00   -1.46   0.00    0.20       1  |normal      6.228701e+00    1.62  6.228764e+00   -1.62   0.00  468.43   15913  |normal      6.238262e+00    1.47  6.238325e+00   -1.46   0.00    0.32       1  |timelim     6.237110e+00    1.48           inf     inf    inf 3599.78  300989  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.237473e+00    1.48  6.238325e+00   -1.46   0.01  406.99   42831  |normal      6.238318e+00    1.46  6.238325e+00   -1.46   0.00  706.83   44397  |normal      6.237473e+00    1.48  6.238325e+00   -1.46   0.01  415.75   42831  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.325089e+00    0.07  6.325089e+00   -0.07   0.00  119.26   23995  |normal      6.329681e+00   -0.00  6.329681e+00    0.00   0.00  229.14   24547  |normal      6.238319e+00    1.46  6.238319e+00   -1.46   0.00    0.69     101  |normal      6.238329e+00    1.46  6.238329e+00   -1.46   0.00    1.11      79  |normal      6.238324e+00    1.46  6.238324e+00   -1.46   0.00 2589.10   42091  |normal      6.238314e+00    1.46  6.238322e+00   -1.46   0.00 3408.95   43749  |normal      6.238324e+00    1.46  6.238324e+00   -1.46   0.00 2152.34   42091  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.46  6.238325e+00   -1.46   0.00  360.29    6609  |--                    --     inf            --     inf     --      --      -- !|normal      6.238326e+00    1.46  6.238330e+00   -1.46   0.00    0.65      17  |
LogReg_10_20_2_2         112    38   123 min  6.330507e+00  6.330507e+00  |normal      6.238262e+00    1.48  6.238325e+00   -1.48   0.00    0.23       1  |normal      6.228703e+00    1.63  6.228765e+00   -1.63   0.00  371.06   12397  |normal      6.238262e+00    1.48  6.238325e+00   -1.48   0.00    0.23       1  |timelim     6.237410e+00    1.49           inf     inf    inf 3599.79  298584  |--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238324e+00    1.48  6.238325e+00   -1.48   0.00  361.63   40977  |normal      6.238320e+00    1.48  6.238325e+00   -1.48   0.00  630.58   41057  |normal      6.238324e+00    1.48  6.238325e+00   -1.48   0.00  365.03   40977  |other               -inf     inf           inf     inf    inf      --      -- !|--                    --     inf            --     inf     --      --      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.330476e+00    0.00  6.330476e+00   -0.00   0.00  113.60   20449  |normal      6.330509e+00   -0.00  6.330509e+00    0.00   0.00  235.55   25223  |normal      6.238320e+00    1.48  6.238320e+00   -1.48   0.00    0.62      71  |normal      6.238325e+00    1.48  6.238325e+00   -1.48   0.00    0.83      81  |normal      6.238324e+00    1.48  6.238324e+00   -1.48   0.00 2472.19   40656  |normal      6.238314e+00    1.48  6.238320e+00   -1.48   0.00 3388.60   43362  |normal      6.238324e+00    1.48  6.238324e+00   -1.48   0.00 2074.21   40656  |other               -inf     inf           inf     inf    inf    0.04      -- !|--                    --     inf            --     inf     --      --      -- !|normal      6.238325e+00    1.48  6.238325e+00   -1.48   0.00  327.16    6147  |--                    --     inf            --     inf     --      --      -- !|normal      6.238326e+00    1.48  6.238326e+00   -1.48   0.00    0.62      17  |
